Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: +getType /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/operator/ChildNode.js:14:12
      1    0.0%    0.0%  JS: +get node:internal/streams/readable:1526:8
      1    0.0%    0.0%  JS: +endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
      1    0.0%    0.0%  JS: +addChunk node:internal/streams/readable:548:18
      1    0.0%    0.0%  JS: +StreamPosition /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:9:16
      1    0.0%    0.0%  JS: +Readable.read node:internal/streams/readable:645:35
      1    0.0%    0.0%  JS: +PathParent /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/PathParent.js:5:16
      1    0.0%    0.0%  JS: +<anonymous> node:internal/modules/cjs/loader:873:37
      1    0.0%    0.0%  JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1    0.0%    0.0%  JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:267:21
      1    0.0%    0.0%  JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:114:23
      1    0.0%    0.0%  JS: *updateObjectEntry /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:52:22
      1    0.0%    0.0%  JS: *pop /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:143:8
      1    0.0%    0.0%  JS: *onString /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:157:19
      1    0.0%    0.0%  JS: *getType /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/operator/Root.js:6:12
      1    0.0%    0.0%  JS: *getType /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/operator/ArrayIndex.js:10:12
      1    0.0%    0.0%  JS: *get stack /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:47:14
      1    0.0%    0.0%  JS: *YAJSPath /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:17:16
      1    0.0%    0.0%  JS: *<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/BitSet.js:1:1
      1    0.0%    0.0%  JS: *<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:267:21
      1    0.0%    0.0%  Builtin: ToName
      1    0.0%    0.0%  Builtin: StringSubstring
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: StoreICTrampoline
      1    0.0%    0.0%  Builtin: StoreFastElementIC_NoTransitionGrowAndHandleCOW
      1    0.0%    0.0%  Builtin: StoreFastElementIC_InBounds
      1    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      1    0.0%    0.0%  Builtin: ObjectCreate
      1    0.0%    0.0%  Builtin: NewStrictArgumentsElements
      1    0.0%    0.0%  Builtin: LoadIC_Noninlined
      1    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      1    0.0%    0.0%  Builtin: KeyedStoreIC
      1    0.0%    0.0%  Builtin: KeyedHasIC
      1    0.0%    0.0%  Builtin: GetProperty
      1    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      1    0.0%    0.0%  Builtin: CreateTypedArray
      1    0.0%    0.0%  Builtin: CreateShallowObjectLiteral
      1    0.0%    0.0%  Builtin: CreateEmptyLiteralObject
      1    0.0%    0.0%  Builtin: ConstructFunction
      1    0.0%    0.0%  Builtin: Construct
      1    0.0%    0.0%  Builtin: CallForwardVarargs
      1    0.0%    0.0%  Builtin: ArrayPrototypeJoin

 [C++]:
   ticks  total  nonlib   name
    150    0.9%    0.9%  pthread_cond_signal@@GLIBC_2.3.2
    100    0.6%    0.6%  fputc@@GLIBC_2.2.5
     47    0.3%    0.3%  epoll_pwait@@GLIBC_2.6
     39    0.2%    0.2%  syscall@@GLIBC_2.2.5
     36    0.2%    0.2%  __write@@GLIBC_2.2.5
     35    0.2%    0.2%  std::ostream::put(char)@@GLIBCXX_3.4
     23    0.1%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     16    0.1%    0.1%  _init
     16    0.1%    0.1%  __libc_malloc@@GLIBC_2.2.5
     12    0.1%    0.1%  isprint@@GLIBC_2.2.5
      5    0.0%    0.0%  fwrite@@GLIBC_2.2.5
      5    0.0%    0.0%  cfree@GLIBC_2.2.5
      5    0.0%    0.0%  __read@@GLIBC_2.2.5
      4    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      4    0.0%    0.0%  _IO_file_xsputn@@GLIBC_2.2.5
      3    0.0%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      2    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      2    0.0%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      2    0.0%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      2    0.0%    0.0%  node::AsyncWrap::EmitAfter(node::Environment*, double)
      2    0.0%    0.0%  __munmap@@GLIBC_PRIVATE
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
